x,y,z
96.500725,-94.700562,-481.372437
78.475769,-95.403580,-484.499451
60.423584,-96.249794,-486.913696
42.517151,-96.796860,-488.694855
24.320271,-97.264587,-489.845032
6.152109,-97.586449,-490.345856
-12.687203,-97.245827,-490.287964
-30.071337,-97.895554,-489.399811
-48.079254,-97.763412,-487.986359
-66.136864,-97.559067,-485.909607
-84.218903,-97.194748,-483.177338
-102.154076,-96.833534,-479.778900
-120.232635,-96.250038,-475.689026
-138.338715,-95.362671,-470.922913
132.601349,-95.423904,-472.558105
114.481247,-96.630043,-477.028992
96.500725,-97.652428,-480.782288
78.475769,-98.374619,-483.904938
60.423584,-99.235634,-486.313965
42.517151,-99.793625,-488.091705
24.320271,-100.268402,-489.238983
6.152109,-100.593323,-489.737823
-12.687203,-100.252342,-489.682037
-30.071337,-100.896606,-488.789917
-48.079254,-100.755798,-487.377289
-66.136864,-100.538719,-485.301819
-84.218903,-100.157639,-482.571899
-102.154076,-99.775581,-479.175751
-120.232635,-99.167000,-475.089478
-138.338715,-98.250404,-470.328918
132.601349,-98.321671,-471.963715
114.481247,-99.555222,-476.427124
96.500725,-100.600616,-480.174072
78.475769,-101.341949,-483.292206
60.423584,-102.217735,-485.695923
42.517151,-102.786621,-487.470184
24.320271,-103.268433,-488.614563
6.152109,-103.596397,-489.111389
-12.687203,-103.255089,-489.057678
-30.071337,-103.893867,-488.161621
-48.079254,-103.744392,-486.749908
-66.136864,-103.514587,-484.675812
-84.218903,-103.116760,-481.948242
-102.154076,-102.713875,-478.554504
-120.232635,-102.080215,-474.472076
-138.338715,-101.134438,-469.717194
132.601349,-101.215736,-471.351501
114.481247,-102.476639,-475.807281
96.500725,-103.545013,-479.547760
78.475769,-104.305466,-482.661285
60.423584,-105.195984,-485.059570
42.517151,-105.775749,-486.830322
24.320271,-106.264565,-487.971710
6.152109,-106.595581,-488.466492
-12.687203,-106.253944,-488.414917
-30.071337,-106.887215,-487.514954
-48.079254,-106.729080,-486.104187
-66.136864,-106.486549,-484.031525
-84.218903,-106.072006,-481.306488
-102.154076,-105.648293,-477.915222
-120.232635,-104.989609,-473.836792
-138.338715,-104.014664,-469.087769
132.601349,-104.105995,-470.721619
114.481247,-105.394211,-475.169556
96.500725,-106.485519,-478.903381
78.475769,-107.265060,-482.012177
60.423584,-108.170273,-484.404968
42.517151,-108.760895,-486.172150
24.320271,-109.256706,-487.310486
6.152109,-109.590752,-487.803253
-12.687203,-109.248802,-487.753754
-30.071337,-109.876541,-486.849915
-48.079254,-109.709747,-485.440186
-66.136864,-109.454506,-483.369019
-84.218903,-109.023247,-480.646545
-102.154076,-108.578735,-477.257996
-120.232635,-107.895042,-473.183655
-138.338715,-106.890976,-468.440765
132.601349,-106.992332,-470.073944
114.481247,-108.307816,-474.513916
96.500725,-109.422005,-478.240997
78.475769,-110.220604,-481.344940
60.423584,-111.140480,-483.732147
42.517151,-111.741936,-485.495636
24.320271,-112.244728,-486.630920
6.152109,-112.581795,-487.121643
-12.687203,-112.239548,-487.074249
-30.071337,-112.861732,-486.166595
-48.079254,-112.686295,-484.757874
-66.136864,-112.418350,-482.688324
-84.218903,-111.970383,-479.968536
-102.154076,-111.505089,-476.582794
-120.232635,-110.796410,-472.512756
-138.338715,-109.763260,-467.776093
132.601349,-109.874634,-469.408630
114.481247,-111.217339,-473.840393
96.500725,-112.354378,-477.560577
78.475769,-113.172012,-480.659576
60.423584,-114.106522,-483.041077
42.517151,-114.718773,-484.800873
24.320271,-115.228523,-485.933044
6.152109,-115.568588,-486.421661
-12.687203,-115.226067,-486.376404
-30.071337,-115.842667,-485.464935
-48.079254,-115.658592,-484.057343
-66.136864,-115.377945,-481.989471
-84.218903,-114.913300,-479.272461
-102.154076,-114.427246,-475.889648
-120.232635,-113.693611,-471.824005
-138.338715,-112.631409,-467.093781
132.601349,-112.752800,-468.725616
114.481247,-114.122673,-473.149078
96.500725,-115.282524,-476.862183
78.475769,-116.119156,-479.956116
60.423584,-117.068253,-482.331848
42.517151,-117.691299,-484.087860
24.320271,-118.207977,-485.216858
6.152109,-118.551048,-485.703400
-12.687203,-118.208244,-485.660187
-30.071337,-118.819237,-484.745026
-48.079254,-118.626534,-483.338501
-66.136864,-118.333206,-481.272461
-84.218903,-117.851898,-478.558350
-102.154076,-117.345093,-475.178558
-120.232635,-116.586525,-471.117493
-138.338715,-115.495323,-466.393860
132.601349,-115.626724,-468.024963
114.481247,-117.023720,-472.439911
96.500725,-118.206322,-476.145844
78.475769,-119.061920,-479.234589
60.423584,-120.025589,-481.604492
42.517151,-120.659401,-483.356598
24.320271,-121.182999,-484.482422
6.152109,-121.529037,-484.966858
-12.687203,-121.185974,-484.925751
-30.071337,-121.791351,-484.006775
-48.079254,-121.590004,-482.601562
-66.136864,-121.284012,-480.537292
-84.218903,-120.786064,-477.826233
-102.154076,-120.258537,-474.449615
-120.232635,-119.475052,-470.393280
-138.338715,-118.354889,-465.676422
132.601349,-118.496300,-467.306671
114.481247,-119.920349,-471.712982
96.500725,-121.125671,-475.411591
78.475769,-122.000198,-478.495026
60.423584,-122.978394,-480.858917
42.517151,-123.622948,-482.607147
24.320271,-124.153442,-483.729736
6.152109,-124.502457,-484.212036
-12.687203,-124.159134,-484.173035
-30.071337,-124.758858,-483.250397
-48.079254,-124.548904,-481.846405
-66.136864,-124.230240,-479.784058
-84.218903,-123.715683,-477.076111
-102.154076,-123.167427,-473.702789
-120.232635,-122.359085,-469.651337
-138.338715,-121.209999,-464.941467
132.601349,-121.361397,-466.570770
114.481247,-122.812469,-470.968292
96.500725,-124.040459,-474.659454
78.475769,-124.933914,-477.737457
60.423584,-125.926575,-480.095306
42.517151,-126.581833,-481.839508
24.320271,-127.119209,-482.958862
6.152109,-127.471169,-483.438995
-12.687203,-127.127632,-483.402130
-30.071337,-127.721687,-482.475800
-48.079254,-127.503113,-481.073090
-66.136864,-127.171806,-479.012787
-84.218903,-126.640625,-476.308044
-102.154076,-126.071724,-472.938110
-120.232635,-125.238503,-468.891724
-138.338715,-124.060547,-464.188934
132.601349,-124.221947,-465.817352
114.481247,-125.699974,-470.205872
96.500725,-126.950592,-473.889404
78.475769,-127.862885,-476.961884
60.423588,-128.870010,-479.313568
42.517151,-129.535965,-481.053741
24.320271,-130.080200,-482.169769
6.152109,-130.435104,-482.647766
-12.687203,-130.091339,-482.612946
-30.071337,-130.679688,-481.683014
-48.079254,-130.452530,-480.281738
-66.136864,-130.108582,-478.223450
-84.218903,-129.560822,-475.522003
-102.154076,-128.971237,-472.155701
-120.232635,-128.113220,-468.114441
-138.338715,-126.906425,-463.419006
132.601349,-127.077805,-465.046356
114.481247,-128.582733,-469.425751
96.500725,-129.855927,-473.101532
78.475769,-130.787048,-476.168365
60.423588,-131.808594,-478.513824
42.517151,-132.485214,-480.249878
24.320271,-133.036285,-481.362518
6.152109,-133.394104,-481.838318
-12.687203,-133.050171,-481.805664
-30.071337,-133.632797,-480.872131
-48.079250,-133.397018,-479.472229
-66.136864,-133.040451,-477.416107
-84.218903,-132.476135,-474.718079
-102.154076,-131.865906,-471.355408
-120.232635,-130.983093,-467.319550
-138.338715,-129.747528,-462.631592
